DEPARTAMENTO;CLASE;TIPO;NOMBRE;NOMBRE CIENTÍFICO;IMAGEN;ICONO
Boyacá;Animales;Introducida;Rata Negra;Rattus rattus;https://inaturalist-open-data.s3.amazonaws.com/photos/103883559/small.jpeg;No disponible
Boyacá;Animales;Introducida;No disponible;Neoscona nautica;https://inaturalist-open-data.s3.amazonaws.com/photos/57764397/small.jpg;No disponible
Boyacá;Animales;Introducida;Gallo Asiático;Gallus gallus;https://inaturalist-open-data.s3.amazonaws.com/photos/3784873/small.jpg;No disponible
Boyacá;Animales;Introducida;Carpa Común Europea;Cyprinus carpio;https://inaturalist-open-data.s3.amazonaws.com/photos/2754663/small.JPG;No disponible
Boyacá;Animales;Introducida;Babosa Gris de Jardín;Deroceras reticulatum;https://inaturalist-open-data.s3.amazonaws.com/photos/17942033/small.jpeg;No disponible
Boyacá;Animales;Introducida;Hipopótamo;Hippopotamus amphibius;https://inaturalist-open-data.s3.amazonaws.com/photos/10173120/small.jpeg;No disponible
Boyacá;Animales;Introducida;Gato Doméstico;Felis catus;https://inaturalist-open-data.s3.amazonaws.com/photos/129658776/small.jpg;No disponible
Boyacá;Animales;Introducida;Ganso Común;Anser anser;https://inaturalist-open-data.s3.amazonaws.com/photos/61334030/small.jpg;No disponible
Boyacá;Animales;Introducida;Pavorreal;Pavo cristatus;https://inaturalist-open-data.s3.amazonaws.com/photos/165318600/small.jpg;No disponible
Boyacá;Animales;Introducida;Cucaracha Roja Africana;Periplaneta americana;https://inaturalist-open-data.s3.amazonaws.com/photos/50490584/small.jpg;No disponible
Boyacá;Animales;Introducida;Geco Casero Tropical;Hemidactylus mabouia;https://inaturalist-open-data.s3.amazonaws.com/photos/340000066/small.jpg;No disponible
Boyacá;Animales;Introducida;No disponible;Linepithema humile;https://static.inaturalist.org/photos/16113301/small.jpg;No disponible
Boyacá;Animales;Introducida;No disponible;Armadillidium nasatum;https://inaturalist-open-data.s3.amazonaws.com/photos/94262585/small.jpg;No disponible
Boyacá;Animales;Introducida;Asno;Equus asinus;https://inaturalist-open-data.s3.amazonaws.com/photos/140505310/small.jpg;No disponible
Boyacá;Animales;Introducida;Tilapia del Nilo;Oreochromis niloticus;https://static.inaturalist.org/photos/104437442/small.jpg;No disponible
Boyacá;Animales;Introducida;Cochinilla del Cañón Gigante;Porcellio dilatatus;https://static.inaturalist.org/photos/345518119/small.jpg;No disponible
Boyacá;Animales;Introducida;Rana Toro;Lithobates catesbeianus;https://inaturalist-open-data.s3.amazonaws.com/photos/4654051/small.jpg;No disponible
Boyacá;Animales;Introducida;Jabalí Europeo;Sus scrofa;https://inaturalist-open-data.s3.amazonaws.com/photos/414500081/small.jpg;No disponible
Boyacá;Animales;Introducida;Avispa Bandera de Ojos Azules;Evania appendigaster;https://inaturalist-open-data.s3.amazonaws.com/photos/42961844/small.jpg;No disponible
Boyacá;Animales;Introducida;Avestruz;Struthio camelus;https://static.inaturalist.org/photos/2568822/small.jpg;No disponible
Boyacá;Animales;Introducida;No disponible;Hemidactylus angulatus;https://static.inaturalist.org/photos/65479/small.JPG;No disponible
Boyacá;Plantas;Nativa;Tuno Esmeraldo;Miconia squamulosa;https://inaturalist-open-data.s3.amazonaws.com/photos/19724860/small.jpeg;No disponible
Boyacá;Plantas;Nativa;Frailejón Guacharaco;Espeletia guacharaca;https://inaturalist-open-data.s3.amazonaws.com/photos/28359907/small.jpeg;No disponible
Boyacá;Plantas;Nativa;Guiche;Epidendrum arachnoglossum;https://inaturalist-open-data.s3.amazonaws.com/photos/41154988/small.jpeg;No disponible
Boyacá;Plantas;Nativa;No disponible;Espeletia pleiochasia;https://static.inaturalist.org/photos/45205209/small.jpg;No disponible
Boyacá;Plantas;Nativa;No disponible;Espeletia muiska;https://static.inaturalist.org/photos/45487211/small.jpeg;No disponible
Boyacá;Plantas;Nativa;No disponible;Espeletia glandulosa;https://inaturalist-open-data.s3.amazonaws.com/photos/98939713/small.jpeg;No disponible
Boyacá;Plantas;Nativa;Choroticos;Alonsoa meridionalis;https://inaturalist-open-data.s3.amazonaws.com/photos/56922001/small.jpg;No disponible
Boyacá;Plantas;Nativa;No disponible;Espeletia rabanalensis;https://static.inaturalist.org/photos/39748543/small.jpg;No disponible
Boyacá;Plantas;Nativa;Frailejón de Tunja;Espeletia tunjana;https://static.inaturalist.org/photos/100924271/small.jpg;No disponible
Boyacá;Plantas;Nativa;No disponible;Espeletia ramosa;https://static.inaturalist.org/photos/82982973/small.jpg;No disponible
Boyacá;Plantas;Nativa;Dividivi;Tara spinosa;https://static.inaturalist.org/photos/26320857/small.jpg;No disponible
Boyacá;Plantas;Nativa;No disponible;Alloispermum caracasanum;https://inaturalist-open-data.s3.amazonaws.com/photos/20867751/small.jpg;No disponible
Boyacá;Plantas;Nativa;No disponible;Espeletia colombiana;https://static.inaturalist.org/photos/87438024/small.jpg;No disponible
Boyacá;Plantas;Nativa;Frailejón de Arcabuco;Espeletia garciae;https://inaturalist-open-data.s3.amazonaws.com/photos/8925202/small.jpg;No disponible
Boyacá;Plantas;Nativa;Marimonia;Erigeron karvinskianus;https://inaturalist-open-data.s3.amazonaws.com/photos/94408/small.jpg;No disponible
Boyacá;Plantas;Nativa;Metezurras;Symphyotrichum subulatum;https://inaturalist-open-data.s3.amazonaws.com/photos/27993962/small.jpeg;No disponible
Boyacá;Plantas;Nativa;Amargoso;Ageratina asclepiadea;https://inaturalist-open-data.s3.amazonaws.com/photos/8074125/small.jpg;No disponible
Boyacá;Plantas;Nativa;No disponible;Espeletia petiolata;https://static.inaturalist.org/photos/86763917/small.jpeg;No disponible
Boyacá;Plantas;Nativa;Frailejón Negro;Espeletia jimenezquesadae;https://inaturalist-open-data.s3.amazonaws.com/photos/27138086/small.jpeg;No disponible
Boyacá;Plantas;Nativa;No disponible;Linochilus jaramilloi;https://inaturalist-open-data.s3.amazonaws.com/photos/79349245/small.jpg;No disponible
Boyacá;Plantas;Nativa;No disponible;Salvia xeropapillosa;https://static.inaturalist.org/photos/238213056/small.jpeg;No disponible
Boyacá;Plantas;Nativa;Arracachuela;Spananthe paniculata;https://static.inaturalist.org/photos/19196199/small.jpeg;No disponible
Boyacá;Plantas;Nativa;No disponible;Asplundianthus arcuans;https://inaturalist-open-data.s3.amazonaws.com/photos/12622233/small.jpeg;No disponible
Boyacá;Plantas;Nativa;No disponible;Linochilus jenesanus;https://inaturalist-open-data.s3.amazonaws.com/photos/94405574/small.jpeg;No disponible
Boyacá;Plantas;Nativa;No disponible;Linochilus camargoanus;https://inaturalist-open-data.s3.amazonaws.com/photos/173870753/small.jpeg;No disponible
Boyacá;Plantas;Nativa;No disponible;Espeletia betancurii;https://static.inaturalist.org/photos/45483582/small.jpeg;No disponible
Boyacá;Plantas;Nativa;Tripa de Pollo;Acmella repens;https://inaturalist-open-data.s3.amazonaws.com/photos/7121830/small.jpeg;No disponible
Boyacá;Plantas;Nativa;No disponible;Acmella uliginosa;https://inaturalist-open-data.s3.amazonaws.com/photos/33348966/small.jpeg;No disponible
Boyacá;Plantas;Nativa;Dama de la Noche;Cereus hexagonus;https://inaturalist-open-data.s3.amazonaws.com/photos/8695720/small.jpg;No disponible
Boyacá;Plantas;Nativa;Altamisa;Ambrosia arborescens;https://inaturalist-open-data.s3.amazonaws.com/photos/9187295/small.jpg;No disponible
Boyacá;Plantas;Nativa;Altamisa;Ambrosia peruviana;https://static.inaturalist.org/photos/1761791/small.JPG;No disponible
Boyacá;Plantas;Nativa;No disponible;Acmella ciliata;https://inaturalist-open-data.s3.amazonaws.com/photos/6041266/small.jpg;No disponible
Boyacá;Plantas;Nativa;No disponible;Acmella brachyglossa;https://static.inaturalist.org/photos/173272128/small.jpeg;No disponible
Boyacá;Plantas;Nativa;Frailejón de Pan de Azúcar;Espeletia azucarina;https://inaturalist-open-data.s3.amazonaws.com/photos/106308202/small.jpg;No disponible
Boyacá;Plantas;Nativa;No disponible;Adenostemma cuatrecasasii;https://inaturalist-open-data.s3.amazonaws.com/photos/215395517/small.jpeg;No disponible
Boyacá;Plantas;Nativa;No disponible;Masdevallia aenigma;https://inaturalist-open-data.s3.amazonaws.com/photos/186457593/small.jpeg;No disponible
Boyacá;Plantas;Nativa;No disponible;Alloispermum steyermarkii;No disponible;https://colombia.inaturalist.org/assets/iconic_taxa/plantae-75px.png
Boyacá;Plantas;Nativa;No disponible;Aiouea angulata;No disponible;https://colombia.inaturalist.org/assets/iconic_taxa/plantae-75px.png
Boyacá;Plantas;Nativa;No disponible;Pitcairnia grubbiana;No disponible;https://colombia.inaturalist.org/assets/iconic_taxa/plantae-75px.png
Boyacá;Plantas;Nativa;Frailejón de Paipa;Espeletia paipana;https://static.inaturalist.org/photos/196256482/small.jpeg;No disponible
Boyacá;Plantas;Nativa;No disponible;Espeletia canescens;No disponible;https://colombia.inaturalist.org/assets/iconic_taxa/plantae-75px.png
Boyacá;Plantas;Nativa;No disponible;Melpomene anazalea;No disponible;https://colombia.inaturalist.org/assets/iconic_taxa/plantae-75px.png
Boyacá;Plantas;Endémica;Frailejón Guacharaco;Espeletia guacharaca;https://inaturalist-open-data.s3.amazonaws.com/photos/28359907/small.jpeg;No disponible
Boyacá;Plantas;Endémica;No disponible;Espeletia glandulosa;https://inaturalist-open-data.s3.amazonaws.com/photos/98939713/small.jpeg;No disponible
Boyacá;Plantas;Endémica;No disponible;Espeletia rabanalensis;https://static.inaturalist.org/photos/39748543/small.jpg;No disponible
Boyacá;Plantas;Endémica;Frailejón de Tunja;Espeletia tunjana;https://static.inaturalist.org/photos/100924271/small.jpg;No disponible
Boyacá;Plantas;Endémica;No disponible;Espeletia ramosa;https://static.inaturalist.org/photos/82982973/small.jpg;No disponible
Boyacá;Plantas;Endémica;No disponible;Linochilus jaramilloi;https://inaturalist-open-data.s3.amazonaws.com/photos/79349245/small.jpg;No disponible
Boyacá;Plantas;Endémica;No disponible;Salvia xeropapillosa;https://static.inaturalist.org/photos/238213056/small.jpeg;No disponible
